track	annotation	observed	expected	CI95low	CI95high	stddev	fold	l2fold	pvalue	qvalue	track_nsegments	track_size	track_density	annotation_nsegments	annotation_size	annotation_density	overlap_nsegments	overlap_size	overlap_density	percent_overlap_nsegments_track	percent_overlap_size_track	percent_overlap_nsegments_annotation	percent_overlap_size_annotation
merged	piRNA	37108	30761.9660	30106.0000	31514.0000	416.6180	1.2063	0.2706	1.0000e-03	1.0000e-03	12681	163134837	5.7019e+00	526637	15824614	5.5311e-01	37108	1124931	3.9319e-02	292.6268	0.6896	7.0462	7.1087
merged	miRNA	406	128.7250	109.0000	151.0000	12.9014	3.1374	1.6496	1.0000e-03	1.0000e-03	12681	163134837	5.7019e+00	1761	8316282	2.9067e-01	419	432056	1.5101e-02	3.3042	0.2648	23.7933	5.1953
